temperature,humidity,wind_speed,visibility
36.1,39.99,8.52,6.1
36.1,40.29,8.07,6.1
36.1,40.62,7.67,6
36,41,7.4,6
35.8,41.51,7.34,5.9
35.6,42.21,7.46,5.9
35.2,43.07,7.74,5.8
34.8,44.04,8.13,5.7
34.3,45.1,8.6,5.7
33.8,46.21,9.12,5.6
33.2,47.33,9.64,5.5
32.7,48.44,10.13,5.4
32.2,49.49,10.56,5.3
31.7,50.46,10.89,5.2
31.3,51.31,11.08,5.1
31,52,11.1,5
30.8,52.13,10.57,4.9
30.6,51.51,9.34,4.7
30.4,50.4,7.72,4.5
30.3,49.1,6.04,4.3
30.1,47.87,4.59,4.1
30,47,3.7,4
30,46.85,3.68,4
30.2,47.55,4.4,4.2
30.5,49.07,5.49,4.5
30.8,51.35,6.6,4.7
31,54.34,7.35,4.9
31,58,7.4,5
26,78,5.6,5
25.9,78.58,5.69,5
25.8,78.92,6.41,5
25.8,79.01,7.45,5
25.8,78.89,8.49,5
25.9,78.55,9.21,5
26,78,9.3,5
26.2,77.29,8.61,5
26.4,76.49,7.4,5
26.6,75.68,5.98,5
26.8,74.95,4.69,5
26.9,74.36,3.82,5
27,74,3.7,5
27,73.88,4.17,5
27,73.9,4.82,5
27,74,5.55,5
27,74.1,6.28,5
27,74.12,6.93,5
27,74,7.4,5
27,73.77,7.74,5
27,73.52,8.06,4.9
27,73.25,8.35,4.8
27,72.96,8.63,4.7
27,72.66,8.9,4.6
27,72.33,9.17,4.5
27,71.99,9.45,4.4
27,71.63,9.73,4.3
27,71.25,10.03,4.2
27,70.85,10.35,4.1
27,70.44,10.71,4
27,70,11.1,4
27.1,69.46,11.62,4.1
27.3,68.77,12.29,4.3
27.5,68,13.03,4.5
27.7,67.23,13.75,4.7
27.9,66.54,14.37,4.9
28,66,14.8,5
28,65.66,15.05,5
28,65.51,15.2,5
28,65.5,15.25,5
28,65.6,15.19,5
28,65.78,15.05,5
28,66,14.8,5
28,66.54,14.51,5
28,67.53,14.21,5
